Rule 1: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 49: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 50: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 51: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 52: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 53: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 54: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 55: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 56: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 57: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 58: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 59: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 60: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 61: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 62: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 63: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 64: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 65: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 66: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 67: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 68: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 69: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 70: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 71: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 72: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 73: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 74: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 75: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 76: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 77: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 78: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 79: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 80: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 81: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 82: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 83: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 84: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 85: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 86: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 87: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 88: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 89: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
Rule 90: B = 0.03999999910593033, M = 0.05999999865889549, Uncertainty = 0.8999999761581421
